Nt =   3863
LC of   212593538
    2392.733803    3418.757939    3389.478864
    2392.754237    3432.616409    3404.604667
    2392.774670    3419.434214    3393.170031
    2392.795104    3412.835703    3387.355461
    2392.815538    3429.802849    3403.397339
    2392.835971    3413.545566    3387.895736
    2392.856405    3419.662883    3393.414408
    2392.876838    3437.936089    3409.260256
    2392.897272    3422.897296    3395.818015
    2392.917706    3417.016035    3390.621607
    2392.938139    3431.879138    3405.822671
    2392.958573    3414.266587    3388.476334
    2392.979007    3436.425201    3408.407246
    2392.999440    3422.528611    3393.044909
    2393.019874    3423.911300    3393.753579
    2393.040307    3444.730531    3416.250190
    2393.060741            NaN            NaN
    2393.081174            NaN            NaN
    2393.101608            NaN            NaN
    2393.122042            NaN            NaN
    2393.142475            NaN            NaN
    2393.162909            NaN            NaN
    2393.183342    3421.674547    3395.480541
    2393.203776    3428.008207    3399.532199
    2393.224210    3414.576901    3385.164727
    2393.244643    3424.048596    3394.963290
    2393.265077    3426.280762    3396.948399
    2393.285511    3421.571146    3393.450680
    2393.305944    3418.490139    3390.805084
    2393.326378    3422.346915    3393.463289
    2393.346811    3422.082555    3393.537635
    2393.367245    3441.002707    3414.817142
    2393.387679    3418.319298    3391.122309
    2393.408112    3429.941442    3401.744061
    2393.428546    3431.542574    3402.914213
    2393.448979    3431.628246    3405.601177
    2393.469413            NaN            NaN
    2393.489846    3416.913444    3387.891014
    2393.510280    3423.501038    3394.261918
    2393.530714    3419.489811    3389.837963
    2393.551147    3424.819556    3392.756485
    2393.571581    3440.416813    3407.686751
    2393.592015    3433.455310    3400.851852
    2393.612448    3433.765664    3402.077445
    2393.632882    3426.372663    3395.216279
    2393.653315    3425.915513    3396.455773
    2393.673749    3418.523717    3389.378842
    2393.694183    3419.131848    3388.399904
    2393.714616    3417.373087    3386.394498
    2393.735050            NaN            NaN
    2393.755483    3428.247608    3399.221342
    2393.775917    3426.970536    3397.449483
    2393.796351    3437.214402    3405.283579
    2393.816784    3426.867156    3397.484098
    2393.837218    3420.400845    3389.976163
    2393.857651    3431.271680    3400.136728
    2393.878085    3423.960671    3393.717421
    2393.898519            NaN            NaN
    2393.918952    3425.031134    3391.451908
    2393.939386    3434.084469    3401.413383
    2393.959819    3419.561693    3386.375920
    2393.980253    3417.998617    3389.719548
    2394.000687    3441.630394    3412.943796
    2394.021120    3416.048485    3388.129534
    2394.041554    3419.988583    3389.662621
    2394.061987    3424.639841    3396.846489
    2394.082421    3435.385728    3406.530050
    2394.102855    3425.266070    3394.908306
    2394.123288    3420.309430    3389.839453
    2394.143722    3430.490798    3400.688898
    2394.164155    3425.949057    3395.513013
    2394.184589    3439.122562    3406.584821
    2394.205023            NaN            NaN
    2394.225456    3422.595594    3387.677763
    2394.245890    3415.374452    3381.860125
    2394.266323    3430.553987    3396.302481
    2394.286757    3430.274055    3398.035243
    2394.307191    3408.524715    3378.360148
    2394.327624    3423.036960    3395.089395
    2394.348058    3419.213773    3390.808871
    2394.368491    3415.134439    3388.010216
    2394.388925    3439.506940    3410.908479
    2394.409359    3424.778328    3395.623251
    2394.429792    3437.548296    3406.144162
    2394.450226    3420.135785    3389.391637
    2394.470659    3425.394444    3392.927616
    2394.491093    3435.199652    3401.770059
    2394.511527    3430.492228    3399.018449
    2394.531960    3420.612713    3389.282469
    2394.552394    3419.874340    3389.947976
    2394.572828    3416.166932    3387.242135
    2394.593261    3424.641134    3396.371747
    2394.613695    3414.269345    3385.906765
    2394.634128    3422.939413    3395.474286
    2394.654562    3418.067539    3389.778625
    2394.674996    3418.563036    3391.870029
    2394.695429    3407.084628    3380.532936
    2394.715863    3426.682609    3398.377735
    2394.736296    3408.242281    3381.717196
    2394.756730    3412.181132    3383.619779
    2394.777164    3422.409642    3392.502590
    2394.797597    3425.252242    3393.593724
    2394.818031    3408.760684    3377.234590
    2394.838464    3426.464483    3395.271079
    2394.858898    3421.549134    3391.981185
    2394.879332            NaN            NaN
    2394.899765    3421.328040    3394.557269
    2394.920199    3424.850853    3396.011744
    2394.940632    3421.867289    3394.823923
    2394.961066            NaN            NaN
    2394.981500    3417.782818    3390.688421
    2395.001933    3429.036865    3399.871180
    2395.022367    3419.066785    3389.094521
    2395.042800    3416.020869    3383.936796
    2395.063234    3423.691846    3392.834480
    2395.083668    3428.307718    3395.363137
    2395.104101    3423.667965    3388.783542
    2395.124535    3423.240224    3390.727363
    2395.144968    3425.551158    3391.544639
    2395.165402    3432.571308    3400.894734
    2395.185836            NaN            NaN
    2395.206269    3422.357215    3388.367357
